season,team,rush_attempts,pass_rate,rush_rate,epa_per_pass,epa_per_rush,rush_success_rate,pass_success_rate,yards_per_carry,pct_off_10_personnel,pct_off_11_personnel,pct_off_12_personnel,pct_off_13_personnel,pct_off_21_personnel,pct_off_22_personnel,avg_box_count_on_rush,epa_per_rush_vs_base,epa_per_rush_vs_nickel,epa_per_rush_vs_dime,pct_def_base,pct_def_nickel,pct_def_dime,avg_db_weight,avg_lb_weight,avg_height_in_db,avg_height_in_lb,avg_forty_lb,avg_forty_db,team_rushing_rank,run_first_label
2010,ARI,321,0.656,0.344,-0.277999997,-0.125,0.361,0.37,4.320000172,0,0,0,0,0,0,,,,,0,0,0,,,,,4.676,4.489,26,pass_first
2010,ATL,494,0.563,0.437,0.118000001,-0.067000002,0.362,0.459,3.960000038,0,0,0,0,0,0,,,,,0,0,0,195.2,235.2,70.8,72.7,4.676,4.489,14,pass_first
2010,BAL,524,0.535,0.465,0.072999999,-0.094999999,0.378,0.425,3.869999886,0,0,0,0,0,0,,,,,0,0,0,,,,,4.676,4.489,18,run_first
2010,BUF,400,0.58,0.42,-0.107000001,-0.116999999,0.398,0.401,4.300000191,0,0,0,0,0,0,,,,,0,0,0,196.6,246.5,70.7,73.9,4.676,4.489,25,pass_first
2010,CAR,426,0.555,0.445,-0.30399999,-0.196999997,0.331,0.333,4.340000153,0,0,0,0,0,0,,,,,0,0,0,196.7,235,71.6,72.8,4.676,4.489,32,pass_first
2010,CHI,461,0.564,0.436,-0.125,-0.048,0.38,0.404,4.119999886,0,0,0,0,0,0,,,,,0,0,0,197.9,238.9,71.4,73.5,4.676,4.489,12,pass_first
2010,CIN,417,0.597,0.403,0.037,-0.170000002,0.386,0.481,3.680000067,0,0,0,0,0,0,,,,,0,0,0,202.2,248.3,71.8,75,4.676,4.489,31,pass_first
2010,CLE,401,0.561,0.439,-0.093000002,-0.101000004,0.372,0.418,4.139999866,0,0,0,0,0,0,,,,,0,0,0,,,,,4.676,4.489,21,pass_first
2010,DAL,420,0.591,0.409,0.039000001,-0.035999998,0.4,0.463,4.28000021,0,0,0,0,0,0,,,,,0,0,0,203.8,248.4,71.8,74.5,4.676,4.489,8,pass_first
2010,DEN,390,0.613,0.387,0.061999999,-0.158000007,0.344,0.424,3.980000019,0,0,0,0,0,0,,,,,0,0,0,197.5,254.9,71.4,74.7,4.676,4.489,30,pass_first
2010,DET,400,0.623,0.377,0.004,-0.098999999,0.368,0.432,4.039999962,0,0,0,0,0,0,,,,,0,0,0,196.6,240.2,71,73.9,4.676,4.489,19,pass_first
2010,GB,509,0.585,0.415,0.184,-0.046,0.397,0.495,3.99000001,0,0,0,0,0,0,,,,,0,0,0,198.2,244,71.7,74.6,4.676,4.489,9,pass_first
2010,HOU,414,0.593,0.407,0.129999995,0.050000001,0.466,0.471,4.949999809,0,0,0,0,0,0,,,,,0,0,0,,,,,4.676,4.489,4,pass_first
2010,IND,405,0.641,0.359,0.170000002,-0.057999998,0.395,0.511,3.930000067,0,0,0,0,0,0,,,,,0,0,0,195.9,238.2,70.9,72.4,4.676,4.489,13,pass_first
2010,JAX,503,0.501,0.499,-0.033,0.066,0.455,0.438,4.760000229,0,0,0,0,0,0,,,,,0,0,0,197.7,240.5,71.8,74.2,4.676,4.489,3,run_first
2010,KC,566,0.481,0.519,0.059999999,-0.027000001,0.396,0.44,4.849999905,0,0,0,0,0,0,,,,,0,0,0,199.3,245.9,71.9,74.5,4.676,4.489,7,run_first
2010,LA,420,0.597,0.403,-0.081,-0.135000005,0.336,0.409,3.779999971,0,0,0,0,0,0,,,,,0,0,0,,,,,4.676,4.489,29,pass_first
2010,LAC,451,0.563,0.437,0.26699999,-0.111000001,0.37,0.5,4.039999962,0,0,0,0,0,0,,,,,0,0,0,,,,,4.676,4.489,23,pass_first
2010,LV,489,0.522,0.478,-0.037,0.012,0.384,0.404,5.130000114,0,0,0,0,0,0,,,,,0,0,0,,,,,4.676,4.489,5,run_first
2010,MIA,434,0.578,0.422,-0.032000002,-0.127000004,0.392,0.438,3.829999924,0,0,0,0,0,0,,,,,0,0,0,202.3,254.7,72.4,75,4.676,4.489,27,pass_first
2010,MIN,433,0.556,0.444,-0.169,-0.068999998,0.418,0.42,4.5,0,0,0,0,0,0,,,,,0,0,0,199.6,241,71.1,73.7,4.676,4.489,15,pass_first
2010,NE,460,0.559,0.441,0.239999995,0.108999997,0.489,0.494,4.590000153,0,0,0,0,0,0,,,,,0,0,0,200.2,246.2,70.7,74.1,4.676,4.489,2,pass_first
2010,NO,389,0.656,0.344,0.126000002,-0.098999999,0.398,0.498,4.130000114,0,0,0,0,0,0,,,,,0,0,0,194.1,237.2,71.7,73.4,4.676,4.489,19,pass_first
2010,NYG,461,0.546,0.454,0.061000001,-0.090000004,0.414,0.466,4.820000172,0,0,0,0,0,0,,,,,0,0,0,200.9,239.6,72.5,74.5,4.676,4.489,17,run_first
2010,NYJ,613,0.511,0.489,0.008,-0.016000001,0.421,0.421,4.480000019,0,0,0,0,0,0,,,,,0,0,0,199.5,251.3,71.3,75.1,4.676,4.489,6,run_first
2010,PHI,436,0.597,0.403,0.064999998,0.123000003,0.447,0.446,5.550000191,0,0,0,0,0,0,,,,,0,0,0,193.2,237.4,70.3,73.3,4.676,4.489,1,pass_first
2010,PIT,552,0.526,0.474,0.108000003,-0.046,0.373,0.45,4.179999828,0,0,0,0,0,0,,,,,0,0,0,197.5,243.8,71.7,73.5,4.676,4.489,9,run_first
2010,SEA,403,0.623,0.377,-0.066,-0.115999997,0.33,0.432,4.03000021,0,0,0,0,0,0,,,,,0,0,0,199.8,244.4,71.7,73,4.676,4.489,24,pass_first
2010,SF,394,0.579,0.421,-0.061999999,-0.077,0.383,0.377,4.21999979,0,0,0,0,0,0,,,,,0,0,0,201.8,244.8,72.2,74.1,4.676,4.489,16,pass_first
2010,TB,423,0.554,0.446,0.108000003,-0.046,0.374,0.45,4.760000229,0,0,0,0,0,0,,,,,0,0,0,201.3,237.9,72.6,73.5,4.676,4.489,9,pass_first
2010,TEN,395,0.559,0.441,0.039000001,-0.127000004,0.344,0.433,4.400000095,0,0,0,0,0,0,,,,,0,0,0,198.3,235,71.8,73,4.676,4.489,27,pass_first
2010,WAS,343,0.655,0.345,-0.074000001,-0.108000003,0.379,0.417,4.28000021,0,0,0,0,0,0,,,,,0,0,0,200.3,249.4,71.6,73.4,4.676,4.489,22,pass_first
2011,ARI,379,0.614,0.386,-0.129999995,-0.028999999,0.42,0.398,4.309999943,0,0,0,0,0,0,,,,,0,0,0,,,,,4.674,4.484,8,pass_first
2011,ATL,454,0.591,0.409,0.104000002,-0.088,0.377,0.463,4.239999771,0,0,0,0,0,0,,,,,0,0,0,195.1,237,71.3,73,4.674,4.484,23,pass_first
2011,BAL,501,0.564,0.436,0.050999999,-0.041000001,0.385,0.423,4.440000057,0,0,0,0,0,0,,,,,0,0,0,,,,,4.674,4.484,13,pass_first
2011,BUF,385,0.608,0.392,-0.030999999,0.015,0.436,0.441,5.019999981,0,0,0,0,0,0,,,,,0,0,0,199.9,255.7,70.8,74.6,4.674,4.484,6,pass_first
2011,CAR,436,0.56,0.44,0.066,0.164000005,0.454,0.448,5.539999962,0,0,0,0,0,0,,,,,0,0,0,196.3,239.5,71,73.3,4.674,4.484,1,pass_first
2011,CHI,451,0.535,0.465,-0.149000004,-0.075999998,0.368,0.408,4.480000019,0,0,0,0,0,0,,,,,0,0,0,199.6,240.2,71.7,73.9,4.674,4.484,20,run_first
2011,CIN,464,0.567,0.433,-0.029999999,-0.066,0.412,0.417,4.010000229,0,0,0,0,0,0,,,,,0,0,0,201.3,245.9,72.5,75,4.674,4.484,19,pass_first
2011,CLE,406,0.599,0.401,-0.094999999,-0.101000004,0.392,0.4,3.799999952,0,0,0,0,0,0,,,,,0,0,0,,,,,4.674,4.484,25,pass_first
2011,DAL,396,0.604,0.396,0.133000001,-0.085000001,0.412,0.478,4.590000153,0,0,0,0,0,0,,,,,0,0,0,204,249.1,71.8,74.9,4.674,4.484,22,pass_first
2011,DEN,617,0.457,0.543,-0.128999993,-0.046,0.402,0.369,4.739999771,0,0,0,0,0,0,,,,,0,0,0,197.4,246.3,71.6,73.3,4.674,4.484,15,run_first
2011,DET,364,0.676,0.324,0.127000004,-0.039999999,0.371,0.493,4.320000172,0,0,0,0,0,0,,,,,0,0,0,195.3,239.7,70.9,73.1,4.674,4.484,11,pass_first
2011,GB,396,0.618,0.382,0.356000006,-0.039999999,0.381,0.529,4.360000134,0,0,0,0,0,0,,,,,0,0,0,196.6,247.3,71.9,74,4.674,4.484,11,pass_first
2011,HOU,595,0.481,0.519,0.097999997,-0.037,0.415,0.465,4.679999828,0,0,0,0,0,0,,,,,0,0,0,,,,,4.674,4.484,10,run_first
2011,IND,375,0.601,0.399,-0.144999996,-0.129999995,0.347,0.418,4.269999981,0,0,0,0,0,0,,,,,0,0,0,197.6,238.8,71.1,73.6,4.674,4.484,31,pass_first
2011,JAX,475,0.519,0.481,-0.26699999,-0.101000004,0.375,0.336,4.179999828,0,0,0,0,0,0,,,,,0,0,0,196.2,239,71.7,73.4,4.674,4.484,25,run_first
2011,KC,477,0.527,0.473,-0.067000002,-0.115999997,0.361,0.411,3.99000001,0,0,0,0,0,0,,,,,0,0,0,203.1,248.4,72.4,74.4,4.674,4.484,30,run_first
2011,LA,401,0.601,0.399,-0.232999995,-0.143999994,0.342,0.371,4.179999828,0,0,0,0,0,0,,,,,0,0,0,,,,,4.674,4.484,32,pass_first
2011,LAC,428,0.588,0.412,0.169,-0.046,0.379,0.503,4.369999886,0,0,0,0,0,0,,,,,0,0,0,,,,,4.674,4.484,15,pass_first
2011,LV,460,0.544,0.456,0.046,-0.028999999,0.376,0.464,4.599999905,0,0,0,0,0,0,,,,,0,0,0,,,,,4.674,4.484,8,run_first
2011,MIA,458,0.533,0.467,-0.023,-0.079000004,0.36,0.406,4.360000134,0,0,0,0,0,0,,,,,0,0,0,203.7,251.9,72.2,75.7,4.674,4.484,21,run_first
